Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
116,RESPONSE,RESOLUTION,Follow the Blood Trail,"Follow the blood trail carefully, unsure what you will find.","You follow the blood trail carefully, unsure what you will find.",BLOOD_TRAIL,BLOOD_TRAIL_FOLLOWED,-,TIME_1H_LOSS
117,RESPONSE,RESOLUTION,Challenge the Hidden Person,Reveal yourself and demand that the hidden person identify themselves.,You reveal yourself and demand that the hidden person identify themselves.,HIDDEN_PERSON,HIDDEN_PERSON_CONFRONTED,-,-
118,RESPONSE,RESOLUTION,Answer the Stranger Who Knows Your Name,Ask how the stranger knows who you are.,You ask how the stranger knows who you are.,STRANGER_KNOWS_NAME,NAME_MYSTERY_CHALLENGED,-,-
119,RESPONSE,RESOLUTION,Call Again After No Answer,Call out once more and demand that whoever is nearby reveal themselves.,You call out once more and demand that whoever is nearby reveal themselves.,NO_ANSWER,SECOND_CALL,-,-
120,RESPONSE,RESOLUTION,Follow the Returned Light Signal,Move toward the direction from which the signal was returned.,You move toward the direction from which the signal was returned.,LIGHT_SIGNAL_RETURNED,LIGHT_SIGNAL_FOLLOWED,-,-
121,RESPONSE,RESOLUTION,Search Beyond the Extinguished Lantern,Search the area beyond the lantern for whoever carried it.,You search the area beyond the lantern for whoever carried it.,LANTERN_FOUND,LANTERN_TRAIL_SEARCHED,-,TIME_1H_LOSS
122,RESPONSE,RESOLUTION,Follow Where the Light Vanished,Continue toward the place where the strange light disappeared.,You continue toward the place where the strange light disappeared.,LIGHT_VANISHED,VANISHED_LIGHT_FOLLOWED,-,TIME_1H_LOSS
123,RESPONSE,RESOLUTION,Block the Thief's Escape,Move between the thief and the easiest route away from camp.,You move between the thief and the easiest route away from camp.,THIEF_PRESENT,THIEF_BLOCKED,-,-
124,RESPONSE,RESOLUTION,Chase the Thief,Pursue the thief before they can disappear with your goods.,You pursue the thief before they can disappear with your goods.,"PERSON_FLEEING, THIEF_PRESENT",THIEF_CHASED,-,-
125,RESPONSE,RESOLUTION,Demand the Goods Back,Confront the thief and demand the return of anything taken.,You confront the thief and demand the return of anything taken.,THIEF_PRESENT,THIEF_CONFRONTED,-,-
126,RESPONSE,RESOLUTION,Let the Thief Flee,Decide that your safety is worth more than the stolen goods.,You decide that your safety is worth more than the stolen goods.,THIEF_PRESENT,THIEF_ALLOWED_ESCAPE,-,-
127,RESPONSE,RESOLUTION,Search for the Missing Goods,Search around the camp for anything dropped or hidden.,You search around the camp for anything dropped or hidden.,CARGO_MISSING,MISSING_GOODS_SEARCHED,-,TIME_1H_LOSS
128,RESPONSE,RESOLUTION,Repair the Cut Cargo Bag,Secure the damaged bag before more goods can spill out.,You secure the damaged bag before more goods can spill out.,CARGO_DAMAGED,CARGO_REPAIRED,-,-
129,RESPONSE,RESOLUTION,Secure the Loose Cargo,Tighten every strap and return shifted goods to safe positions.,You tighten every strap and return shifted goods to safe positions.,CARGO_LOOSE,CARGO_FULLY_SECURED,-,-
130,RESPONSE,RESOLUTION,Watch for the Cargo Intruder,Stay near the supplies and wait for the intruder to make another move.,You stay near the supplies and wait for the intruder to make another move.,CARGO_INTRUSION_POSSIBLE,CARGO_AMBUSH_WAIT,-,-
131,RESPONSE,RESOLUTION,Confront the Cargo Watcher,Call out the stranger who has been staring at your supplies.,You call out the stranger who has been staring at your supplies.,"SUSPICIOUS_STRANGER, THEFT_THREAT",CARGO_WATCHER_CONFRONTED,-,-
132,RESPONSE,RESOLUTION,Drive the Animal Away,Advance while making noise to force the animal away from camp.,You advance while making noise to force the animal away from camp.,ANIMAL_CONFIRMED,ANIMAL_SCARED,-,-
133,RESPONSE,RESOLUTION,Stay Still and Observe the Animal,Avoid sudden movement and watch the animal's behavior.,You avoid sudden movement and watch the animal's behavior.,ANIMAL_CONFIRMED,ANIMAL_OBSERVED,-,-
134,RESPONSE,RESOLUTION,Offer Food Away from Camp,Place food away from the cargo to draw the animal away.,"You take a fresh portion of food from your supplies and place it well away from the cargo, hoping the animal will choose the easier meal instead.","ANIMAL_CONFIRMED, ANIMAL_FEED_OPTION",ANIMAL_FED,-,FOOD_1_LOSS
135,RESPONSE,RESOLUTION,Retreat from the Animal,Slowly give the animal space and move back toward safer ground.,You slowly give the animal space and move back toward safer ground.,ANIMAL_CONFIRMED,ANIMAL_AVOIDED,-,-
136,RESPONSE,RESOLUTION,Protect the Cargo from the Animal,Position yourself between the animal and your supplies.,You position yourself between the animal and your supplies.,"ANIMAL_CONFIRMED, CARGO_PRESENT",ANIMAL_CARGO_DEFENDED,-,-
137,RESPONSE,RESOLUTION,Follow the Animal Tracks,Follow the trail a short distance to learn where the animal went.,You follow the trail a short distance to learn where the animal went.,ANIMAL_TRACKS,ANIMAL_TRACKS_FOLLOWED,-,TIME_1H_LOSS
138,RESPONSE,RESOLUTION,Approach the Injured Animal,Move closer carefully to see whether the animal can be helped.,You move closer carefully to see whether the animal can be helped.,INJURED_ANIMAL,INJURED_ANIMAL_APPROACHED,-,-
139,RESPONSE,RESOLUTION,Leave the Injured Animal Alone,Decide not to risk approaching and return toward camp.,You decide not to risk approaching and return toward camp.,INJURED_ANIMAL,INJURED_ANIMAL_LEFT,-,-
140,RESPONSE,RESOLUTION,Use the Fire to Keep the Animal Back,Strengthen the fire and use the flames to discourage the animal from approaching.,You strengthen the fire and use the flames to discourage the animal from approaching.,"CAMP, LARGE_ANIMAL",ANIMAL_HELD_BY_FIRE,-,-
141,RESPONSE,RESOLUTION,Chase the Animal from the Cargo,Rush toward the bags and force the animal away from the supplies.,You rush toward the bags and force the animal away from the supplies.,ANIMAL_IN_CARGO,"ANIMAL_SCARED, CARGO_DEFENDED",-,-
142,RESPONSE,RESOLUTION,Wait for the Retreating Animal to Leave,Remain alert and watch until the retreating animal is farther from camp.,You remain alert and watch until the retreating animal is farther from camp.,ANIMAL_RETREATING,ANIMAL_RETREAT_CONFIRMED,-,-
143,RESPONSE,RESOLUTION,Restore the Fire from the Embers,Feed the remaining heat with dry tinder until the flames return.,You feed the remaining heat with dry tinder until the flames return.,EMBERS_USABLE,FIRE_RESTORED,-,-
144,RESPONSE,RESOLUTION,Use Reserved Dry Fuel,Use protected dry fuel from your supplies to rebuild the fire.,You use protected dry fuel from your supplies to rebuild the fire.,FIREWOOD_WET,FIRE_RESTORED,-,-
145,RESPONSE,RESOLUTION,Give Up on the Fire,Decide not to waste more fuel and prepare to rest without the campfire.,You decide not to waste more fuel and prepare to rest without the campfire.,FIREWOOD_WET,FIRE_ABANDONED,-,-
146,RESPONSE,RESOLUTION,Repair the Shelter Rope,Replace the failed rope and pull the shelter back into position.,You replace the failed rope and pull the shelter back into position.,SHELTER_DAMAGED,SHELTER_REPAIRED,-,-
147,RESPONSE,RESOLUTION,Cover the Exposed Cargo,Move quickly to protect the goods from further rain.,You move quickly to protect the goods from further rain.,CARGO_WET_RISK,CARGO_RAIN_SECURED,-,-
148,RESPONSE,RESOLUTION,Move the Camp to Higher Ground,Relocate the essential parts of camp before the water rises farther.,You relocate the essential parts of camp before the water rises farther.,FLOODING_RISK,CAMP_MOVED_HIGHER,-,-
149,RESPONSE,RESOLUTION,Break Camp Before Flooding Worsens,Decide the campsite is no longer safe and begin packing immediately.,You decide the campsite is no longer safe and begin packing immediately.,FLOODING_RISK,CAMP_ABANDONED,-,-
150,RESPONSE,RESOLUTION,Wait for the Storm to Ease,Remain under cover and avoid unnecessary movement while the storm weakens.,"With the shelter stable and no immediate problem demanding attention, you remain under cover and wait for the storm to weaken.","STORM_ACTIVE, NO_IMMEDIATE_THREAT",STORM_WAITED_OUT,-,-
151,RESPONSE,RESOLUTION,Patch the Torn Cargo Cover,Temporarily patch the tear to keep the rain away from the goods.,You temporarily patch the tear to keep the rain away from the goods.,CARGO_COVER_TORN,CARGO_COVER_REPAIRED,-,-
152,RESPONSE,RESOLUTION,Trust the Reinforced Shelter,Decide the shelter is stable enough and return to rest beneath it.,You decide the shelter is stable enough and return to rest beneath it.,SHELTER_STABLE,SHELTER_TRUSTED,-,-
153,RESPONSE,RESOLUTION,Return to Rest After Finding Nothing,Decide that further searching is unlikely to help and return to the fire.,You decide that further searching is unlikely to help and return to the fire.,NO_SOURCE_FOUND,MYSTERY_ABANDONED,-,-
154,RESPONSE,RESOLUTION,Wait for the Disturbance to Return,Remain awake for a while longer to see whether anything happens again.,You remain awake for a while longer to see whether anything happens again.,NO_SOURCE_FOUND,MYSTERY_WAITED,-,-
155,RESPONSE,RESOLUTION,Follow the Trail of Broken Branches,Follow the rough trail into the darkness for a short distance.,You follow the rough trail into the darkness for a short distance.,TRAIL_FOUND,UNKNOWN_TRAIL_FOLLOWED,-,TIME_1H_LOSS
156,RESPONSE,RESOLUTION,Search for the Owner of the Abandoned Pack,Search the nearby area for whoever left the pack behind.,You search the nearby area for whoever left the pack behind.,ABANDONED_BELONGINGS,PACK_OWNER_SEARCHED,-,TIME_1H_LOSS
157,RESOLUTION,END,Traveller Recovers Enough to Leave,Stay with the traveller until the situation is settled.,"Your help is enough for the traveller to recover and continue toward the road. Before leaving, they insist that you take a few coins for your trouble.",TRAVELLER_HELPED,-,-,COINS_SMALL_GAIN
158,RESOLUTION,END,Traveller Cannot Continue,Stay with the wounded traveller a little longer and see whether they can continue.,The traveller is too weak to continue and remains near the fire until morning.,TRAVELLER_HELPED,-,-,-
159,RESOLUTION,END,Traveller Shares Useful Information,Ask one final question before ending the conversation.,Your questions reveal useful information about danger on the nearby road.,TRAVELLER_QUESTIONED,-,-,MARKET_TIP
160,RESOLUTION,END,Traveller Gives a Vague Story,Keep questioning the traveller until you are satisfied with the answer.,"The traveller answers your questions, but their story leaves you unconvinced.",TRAVELLER_QUESTIONED,-,-,-
161,RESOLUTION,END,Traveller Rests Beside the Fire,Let the traveller remain by the fire a little longer.,"The traveller spends a quiet while beside your fire before continuing their journey, mentioning unusually strong demand for certain goods along the road ahead.",TRAVELLER_INVITED,-,-,MARKET_TIP
162,RESOLUTION,END,Traveller Leaves Peacefully,Watch the traveller leave before returning to rest.,The traveller accepts your refusal and disappears back into the night.,TRAVELLER_SENT_AWAY,-,-,-
163,RESOLUTION,END,Merchant Finds the Road,Make sure the merchant understands the route.,"With your directions, the merchant finds the road again. Before leaving, they repay the favour by mentioning a recent shortage and unusual prices in the settlement they came from.",MERCHANT_DIRECTED,-,-,MARKET_TIP
164,RESOLUTION,END,Suspicious Stranger Explains Themselves,Press the stranger for one final answer.,"After being questioned, the stranger gives a believable explanation and mentions recent trade activity on the nearby road before moving on.",STRANGER_QUESTIONED,-,-,MARKET_TIP
165,RESOLUTION,END,Suspicious Stranger Refuses to Answer,Hold your ground and give the suspicious stranger one last chance to answer.,The stranger refuses to explain themselves and slowly retreats into the darkness.,STRANGER_QUESTIONED,-,-,-
166,RESOLUTION,END,Stranger Heeds Your Warning,Hold your warning and watch how the stranger responds.,The stranger decides not to approach further and leaves the area.,STRANGER_WARNED,-,-,DANGER_AVOIDED
167,RESOLUTION,END,Armed Stranger Backs Away,Stand your ground and finish the confrontation.,The armed stranger decides the confrontation is not worth the risk and withdraws.,ARMED_CONFRONTATION,-,-,DANGER_AVOIDED
168,RESOLUTION,END,Armed Confrontation Turns Violent,Refuse to back away and defend yourself as the armed stranger closes in.,"The stranger attacks, forcing a dangerous struggle before the threat finally ends.",ARMED_CONFRONTATION,-,-,HP_MINOR_LOSS
169,RESOLUTION,END,The Strangers Reveal Their Intentions,Keep observing until their intentions are clear.,"By watching from concealment, you learn that the strangers are merchants discussing shortages and prices in a nearby settlement.",STRANGERS_OBSERVED,-,-,MARKET_TIP
170,RESOLUTION,END,The Cry Leads to an Injured Traveller,Continue carefully toward the source of distress.,You find the person in distress and bring them back toward the safety of the fire.,DISTRESS_APPROACHED,-,-,-
171,RESOLUTION,END,The Cry Was a Trap,"Approach the cry carefully, ready to pull back if something feels wrong.","The call for help leads you toward people waiting in ambush, forcing you to retreat.",DISTRESS_APPROACHED,-,-,HP_MINOR_LOSS
172,RESOLUTION,END,The Belongings Identify Their Owner,Finish checking the abandoned belongings.,"Clues inside the abandoned belongings reveal who carried them and where they may have gone. Nearby, separate from the pack, you also find a sealed waterskin with no identifying mark.",BELONGINGS_SEARCHED,-,-,DRINK_1_GAIN
173,RESOLUTION,END,The Human Tracks Lead to a Traveller,Follow the tracks a little farther.,"The footprints lead to a lone traveller resting a short distance from your camp. After a short conversation, they share what they recently saw along the road and in nearby markets.",HUMAN_TRACKS_FOLLOWED,-,-,MARKET_TIP
174,RESOLUTION,END,The Human Tracks Lead Away,Follow the human tracks only far enough to confirm where they lead.,The footprints continue toward the road until you decide not to follow farther.,HUMAN_TRACKS_FOLLOWED,-,-,-
175,RESOLUTION,END,The Blood Leads to an Injured Traveller,Continue along the blood trail.,The trail ends at an injured traveller hiding nearby.,BLOOD_TRAIL_FOLLOWED,-,-,-
176,RESOLUTION,END,The Blood Leads to an Injured Animal,Follow the blood trail until you can identify what is injured.,The trail ends at a wounded animal resting beneath cover.,BLOOD_TRAIL_FOLLOWED,-,-,-
177,RESOLUTION,END,The Hidden Person Flees,Keep the hidden person in sight and demand an answer.,The figure runs before answering and disappears into the darkness.,HIDDEN_PERSON_CONFRONTED,-,-,DANGER_AVOIDED
178,RESOLUTION,END,The Hidden Person Steps Forward,Hold your position and give them a chance to respond.,"The person reveals themselves and explains why they were watching the camp, mentioning useful trade activity they recently saw on the road.",HIDDEN_PERSON_CONFRONTED,-,-,MARKET_TIP
179,RESOLUTION,END,The Stranger Refuses to Explain Your Name,Demand one last explanation.,The stranger refuses to explain how they know you and leaves before you can stop them.,NAME_MYSTERY_CHALLENGED,-,-,-
180,RESOLUTION,END,No One Answers the Second Call,Wait for a final response to your call.,"Your second call receives no response. After several quiet minutes, you return to rest.",SECOND_CALL,-,-,-
181,RESOLUTION,END,Someone Finally Reveals Themselves,Hold your position and give them a chance to respond.,"A nervous stranger steps from hiding after your second call and, once calm, shares a useful piece of information about nearby trade.",SECOND_CALL,-,-,MARKET_TIP
182,RESOLUTION,END,The Returned Signal Leads to a Traveller,Follow the returned signal to its source.,"Following the signal brings you to a lost traveller trying to find the road. After you help them regain their bearings, they offer you a few coins in thanks.",LIGHT_SIGNAL_FOLLOWED,-,-,COINS_SMALL_GAIN
183,RESOLUTION,END,The Lantern Trail Goes Cold,Search a little farther beyond the lantern.,You find no trace of the lantern's owner and eventually return to camp.,LANTERN_TRAIL_SEARCHED,-,-,-
184,RESOLUTION,END,The Vanished Light Is Never Found,Check the place where the light disappeared.,You search where the light disappeared but find nothing that explains what you saw.,VANISHED_LIGHT_FOLLOWED,-,-,-
185,RESOLUTION,END,Thief Drops the Goods and Flees,Keep the thief from slipping past you.,"Blocked from escaping cleanly, the thief drops what they took and runs.",THIEF_BLOCKED,-,-,DANGER_AVOIDED
186,RESOLUTION,END,Thief Fights to Escape,Keep the thief blocked even as they try to force their way past you.,The trapped thief lashes out before finally escaping into the darkness.,THIEF_BLOCKED,-,-,HP_MINOR_LOSS
187,RESOLUTION,END,You Catch Up with the Thief,Push the chase for a little longer.,You catch the thief before they disappear and recover what they were carrying.,THIEF_CHASED,-,-,DANGER_AVOIDED
188,RESOLUTION,END,The Thief Escapes the Chase,Continue the attempt a little longer before deciding whether to stop.,The thief is faster in the darkness and disappears with the stolen goods.,THIEF_CHASED,-,-,CARGO_SMALL_LOSS
189,RESOLUTION,END,Thief Returns the Goods,Hold your demand and wait for the thief's answer.,"Faced directly, the thief gives back what they took and retreats.",THIEF_CONFRONTED,-,-,DANGER_AVOIDED
190,RESOLUTION,END,Thief Refuses and Runs,Keep demanding the stolen goods back as the thief looks for a way out.,The thief ignores your demand and bolts into the darkness.,THIEF_CONFRONTED,-,-,CARGO_SMALL_LOSS
191,RESOLUTION,END,The Thief Escapes Unchallenged,Let the thief go and return your attention to camp.,You let the thief go and the footsteps quickly fade into the night.,THIEF_ALLOWED_ESCAPE,-,-,CARGO_SMALL_LOSS
192,RESOLUTION,END,Most Missing Goods Are Found,Finish searching the area for the missing cargo.,You recover most of the missing items scattered or hidden around the camp.,MISSING_GOODS_SEARCHED,-,-,-
193,RESOLUTION,END,The Missing Goods Are Gone,Search the area one final time before accepting that the cargo is gone.,Your search finds no trace of the lost cargo.,MISSING_GOODS_SEARCHED,-,-,CARGO_SMALL_LOSS
194,RESOLUTION,END,The Damaged Cargo Is Secured,Check the repair before leaving the cargo.,Your repair prevents any further loss from the damaged bag.,CARGO_REPAIRED,-,-,DANGER_AVOIDED
195,RESOLUTION,END,The Cargo Is Safe Again,Inspect the secured cargo one last time.,All loose goods are secured and the camp becomes quiet again.,CARGO_FULLY_SECURED,-,-,DANGER_AVOIDED
196,RESOLUTION,END,The Cargo Intruder Returns,Keep waiting for the intruder to return.,Your patience pays off when the intruder approaches the supplies again and reveals themselves.,CARGO_AMBUSH_WAIT,-,-,-
197,RESOLUTION,END,The Intruder Never Returns,Stay beside the cargo a little longer before returning to rest.,"You wait beside the cargo, but nothing else approaches before morning.",CARGO_AMBUSH_WAIT,-,-,DANGER_AVOIDED
198,RESOLUTION,END,The Cargo Watcher Withdraws,Keep the watcher at a distance until they leave.,"Once confronted, the stranger backs away from your supplies and leaves.",CARGO_WATCHER_CONFRONTED,-,-,DANGER_AVOIDED
199,RESOLUTION,END,Animal Flees from the Noise,Keep making noise from a safe distance and give the animal room to retreat.,The animal recoils at the noise and disappears into the darkness.,ANIMAL_SCARED,-,-,DANGER_AVOIDED
200,RESOLUTION,END,Large Animal Charges,Advance more aggressively and try to force the large animal away.,"Instead of fleeing, the large animal reacts aggressively and charges before eventually retreating.","ANIMAL_SCARED, LARGE_ANIMAL",-,-,HP_MINOR_LOSS
201,RESOLUTION,END,Animal Loses Interest,Wait and see what the animal does next.,"After watching the camp for a while, the animal turns and leaves on its own.",ANIMAL_OBSERVED,-,-,DANGER_AVOIDED
202,RESOLUTION,END,Animal Takes the Food and Leaves,Stay back and let the animal take the food.,"The animal takes the food and moves away from the camp, leaving your supplies and sleeping area alone.",ANIMAL_FED,-,-,DANGER_AVOIDED
203,RESOLUTION,END,Animal Keeps Its Distance,Keep your distance until the animal moves on.,"Your retreat gives the animal enough space, and it does not follow you back to camp.",ANIMAL_AVOIDED,-,-,DANGER_AVOIDED
204,RESOLUTION,END,Cargo Is Protected from the Animal,Hold the animal away from the cargo.,The animal gives up on the supplies and eventually leaves.,ANIMAL_CARGO_DEFENDED,-,-,DANGER_AVOIDED
205,RESOLUTION,END,The Animal Tracks Lead to a Den,Follow the animal tracks a little farther.,"The trail leads to a shallow den, and you decide not to disturb it.",ANIMAL_TRACKS_FOLLOWED,-,-,-
206,RESOLUTION,END,The Animal Trail Goes Too Far,Follow the animal tracks until the trail becomes too risky to continue.,The tracks continue away from camp until you turn back rather than risk getting lost.,ANIMAL_TRACKS_FOLLOWED,-,-,-
207,RESOLUTION,END,The Injured Animal Allows You Close,Approach one final step and assess the animal.,The animal remains calm long enough for you to inspect its injury before it moves away.,INJURED_ANIMAL_APPROACHED,-,-,-
208,RESOLUTION,END,The Injured Animal Reacts Aggressively,Stay close enough to help the injured animal despite its warning signs.,"The frightened animal lashes out when you approach, forcing you to retreat.",INJURED_ANIMAL_APPROACHED,-,-,HP_MINOR_LOSS
209,RESOLUTION,END,The Injured Animal Is Left Undisturbed,Leave the animal undisturbed and return to camp.,You leave the wounded animal alone and return safely to camp.,INJURED_ANIMAL_LEFT,-,-,-
210,RESOLUTION,END,The Fire Keeps the Animal Back,Keep the flames between you and the animal.,The stronger flames keep the large animal outside the camp until it eventually leaves.,ANIMAL_HELD_BY_FIRE,-,-,DANGER_AVOIDED
211,RESOLUTION,END,The Animal Leaves the Cargo Area,Stand between the animal and the cargo until it leaves the supplies.,"Driven away from the supplies, the animal disappears into the darkness.",CARGO_DEFENDED,-,-,DANGER_AVOIDED
212,RESOLUTION,END,The Retreating Animal Disappears,Wait until the animal is fully gone.,You watch until the animal is well beyond the camp and the night becomes quiet again.,ANIMAL_RETREAT_CONFIRMED,-,-,DANGER_AVOIDED
213,RESOLUTION,END,The Fire Burns Again,Tend the fire until it is stable again.,The flames return and the camp becomes warm and visible again.,FIRE_RESTORED,-,-,-
214,RESOLUTION,END,You Spend the Night Without a Fire,Settle in without the fire and continue resting.,"You give up on the soaked fuel and settle in for a colder, darker rest.",FIRE_ABANDONED,-,-,TIME_1H_LOSS
215,RESOLUTION,END,The Shelter Holds,Check the repaired shelter against the storm.,Your repair stabilizes the shelter enough to withstand the remaining storm.,SHELTER_REPAIRED,-,-,DANGER_AVOIDED
216,RESOLUTION,END,The Cargo Stays Dry,Make sure the protected cargo will stay dry.,Your quick work protects the goods before the rain can cause serious damage.,CARGO_RAIN_SECURED,-,-,DANGER_AVOIDED
217,RESOLUTION,END,The New Campsite Is Safer,Finish moving the camp to safer ground.,Higher ground keeps the rising water away and you resume resting.,CAMP_MOVED_HIGHER,-,-,DANGER_AVOIDED
218,RESOLUTION,END,You Leave Before the Flood,Leave the camp before the flooding worsens.,You pack quickly and abandon the campsite before the water traps you.,CAMP_ABANDONED,-,-,DANGER_AVOIDED
219,RESOLUTION,END,The Storm Finally Weakens,Stay sheltered and wait for the storm to pass.,"You remain under cover and avoid unnecessary movement until the worst of the storm finally weakens, allowing the immediate danger around camp to pass.",STORM_WAITED_OUT,-,-,DANGER_AVOIDED
220,RESOLUTION,END,The Patched Cover Holds,Secure the repaired cargo cover.,The temporary patch keeps most of the rain away from your cargo.,CARGO_COVER_REPAIRED,-,-,DANGER_AVOIDED
221,RESOLUTION,END,The Reinforced Shelter Survives the Night,Remain under the shelter and trust the repair.,The shelter remains stable and protects you until the storm eases.,SHELTER_TRUSTED,-,-,DANGER_AVOIDED
222,RESOLUTION,END,The Mystery Is Left Unresolved,Stop searching and return to the fire.,You find no explanation for the disturbance and eventually return to rest.,MYSTERY_ABANDONED,-,-,-
223,RESOLUTION,END,The Disturbance Never Returns,Wait a little longer before giving up.,"You wait, but the strange sound or movement never happens again.",MYSTERY_WAITED,-,-,-
224,RESOLUTION,END,The Broken Trail Ends Suddenly,Follow the broken trail a little farther.,The trail disappears on harder ground and leaves no clue about what made it.,UNKNOWN_TRAIL_FOLLOWED,-,-,-
225,RESOLUTION,END,The Trail Leads to an Old Campsite,Follow the broken trail until you can identify where it ends.,"The broken branches lead to the remains of a recently abandoned campsite. Among the heavier supplies, you find one useful bulky trade good worth carrying.",UNKNOWN_TRAIL_FOLLOWED,-,-,RESOURCE_BIG_GAIN
226,RESOLUTION,END,No Owner Is Found,Search nearby for the owner of the belongings.,"You search the nearby area but find no owner. Inside the abandoned pack, you find a wrapped ration that is still usable.",PACK_OWNER_SEARCHED,-,-,FOOD_1_GAIN
227,RESOLUTION,END,The Pack's Owner Returns,Wait near the abandoned pack long enough to see whether its owner returns.,"A nervous traveller appears while you are searching and claims the abandoned pack. Relieved to recover their belongings intact, they offer you a few coins in thanks.",PACK_OWNER_SEARCHED,-,-,COINS_SMALL_GAIN
228,RESPONSE,RESOLUTION,Follow the Fleeing Person,Follow the fleeing person for a short distance to learn why they were near your camp.,You follow the fleeing person for a short distance to learn why they were near your camp.,PERSON_FLEEING,FLEEING_PERSON_FOLLOWED,-,TIME_1H_LOSS
229,RESPONSE,RESOLUTION,Call to the Nearby Person,Call toward the nearby footsteps and tell the unseen person to identify themselves.,You call toward the nearby footsteps and tell the unseen person to identify themselves.,PERSON_NEARBY,NEARBY_PERSON_CALLED,-,-
230,RESPONSE,RESOLUTION,Respect the Warning,Stop advancing and tell the unseen person that you will keep your distance.,You stop advancing and tell the unseen person that you will keep your distance.,HOSTILE_WARNING,WARNING_RESPECTED,-,-
231,RESPONSE,RESOLUTION,Challenge the Warning,Refuse to back away and demand that the unseen person explain themselves.,You refuse to back away and demand that the unseen person explain themselves.,HOSTILE_WARNING,WARNING_CHALLENGED,-,-
232,RESOLUTION,END,The Fleeing Person Disappears,Keep after the fleeing person a little longer.,"You follow for a short distance, but the person vanishes into the darkness before you can catch them.",FLEEING_PERSON_FOLLOWED,-,-,-
233,RESOLUTION,END,The Fleeing Person Drops a Clue,Check the ground where the fleeing person passed for anything they may have dropped.,"The fleeing person escapes, but you find a small quantity of trade goods they dropped while running.",FLEEING_PERSON_FOLLOWED,-,-,RESOURCE_SMALL_GAIN
234,RESOLUTION,END,A Traveller Answers from the Darkness,Call once more to the nearby person.,"The nearby person finally answers and reveals themselves as a nervous trader. Before leaving, they mention recent shortages in one of the nearby settlements.",NEARBY_PERSON_CALLED,-,-,MARKET_TIP
235,RESOLUTION,END,The Nearby Person Moves Away,Wait for the nearby person to answer before deciding they have left.,"No answer comes, but the footsteps slowly retreat until the camp is quiet again.",NEARBY_PERSON_CALLED,-,-,-
236,RESOLUTION,END,The Warning Is Honored,Keep your distance and wait for the warning to pass.,"You keep your distance, and after several tense minutes the unseen person leaves the area.",WARNING_RESPECTED,-,-,DANGER_AVOIDED
237,RESOLUTION,END,The Stranger Shares What They Know,Stand by your challenge and wait for a response.,"After your challenge, the stranger steps into view and explains that they have come from a nearby settlement. Before leaving, they mention a shortage that has recently changed local prices.",WARNING_CHALLENGED,-,-,MARKET_TIP
238,RESOLUTION,END,The Challenge Provokes an Attack,Hold your ground after challenging the warning instead of backing away.,Your refusal to back down turns the warning into a violent confrontation before the threat ends.,WARNING_CHALLENGED,-,-,HP_MINOR_LOSS
239,RESPONSE,RESOLUTION,Inspect the Human Tracks,"Study the depth, direction, and spacing of the footprints before deciding whether to follow them.","You study the depth, direction, and spacing of the footprints before deciding whether to follow them.",HUMAN_TRACKS,HUMAN_TRACKS_INSPECTED,-,-
240,RESOLUTION,END,Inspect the Human Tracks Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection of the human tracks reveals signs of recent trader traffic and gives you a useful clue about movement toward a nearby settlement.,HUMAN_TRACKS_INSPECTED,-,-,MARKET_TIP
241,RESOLUTION,END,The Tracks Give No Clear Answer,"Wait a little longer, then accept that no clearer answer is coming.","The footprints overlap on hard ground and become difficult to read. You can tell that someone passed near camp, but not where they went or what they wanted.",HUMAN_TRACKS_INSPECTED,-,-,-
242,RESPONSE,RESOLUTION,Return to Camp and Watch the Trail,Decide not to follow immediately and instead return to camp to see whether whoever made the tracks comes back.,You decide not to follow immediately and instead return to camp to see whether whoever made the tracks comes back.,HUMAN_TRACKS,HUMAN_TRACKS_WATCHED,-,-
243,RESOLUTION,END,The Track Maker Returns,Keep observing without interfering until the situation becomes clear.,"Your patience pays off when the person who made the tracks returns briefly, revealing useful information about traffic and trade along the road.",HUMAN_TRACKS_WATCHED,-,-,MARKET_TIP
244,RESOLUTION,END,The Tracks Are Not Revisited,"Wait a little longer, then accept that no clearer answer is coming.","You return to camp and watch the route of the footprints, but no one comes back along the trail before the night grows quiet.",HUMAN_TRACKS_WATCHED,-,-,-
245,RESPONSE,RESOLUTION,Examine the Blood Before Following,Inspect the blood closely to judge how fresh the trail is and whether following it is worth the risk.,You inspect the blood closely to judge how fresh the trail is and whether following it is worth the risk.,BLOOD_TRAIL,BLOOD_EXAMINED,-,-
246,RESOLUTION,END,The Blood Suggests a Recent Injury,Examine what you found closely enough to make use of the clue.,"A closer look shows the blood is still fresh and scattered rather than pooled. Someone or something injured passed through recently, but the trail gives you no reason to rush blindly after it.",BLOOD_EXAMINED,-,-,-
247,RESOLUTION,END,The Blood Is Too Difficult to Read,"Wait a little longer, then accept that no clearer answer is coming.",The drops are too scattered to judge how fresh the trail is or how badly its source was hurt. Following it now would mean guessing in the dark.,BLOOD_EXAMINED,-,-,-
