Situation Number,Phase,NextPhase,Situation Name,Situation Description,Required Context,Given Context,Removed Context
156,RESPONSE,RESOLUTION,Search for the Owner of the Abandoned Pack,You search the nearby area for whoever left the pack behind.,ABANDONED_BELONGINGS,PACK_OWNER_SEARCHED,-
157,RESOLUTION,END,Traveller Recovers Enough to Leave,Your help is enough for the traveller to recover and continue toward the road.,TRAVELLER_HELPED,EVENT_RESOLVED,-
158,RESOLUTION,END,Traveller Cannot Continue,The traveller is too weak to continue and remains near the fire until morning.,TRAVELLER_HELPED,EVENT_RESOLVED,-
159,RESOLUTION,END,Traveller Shares Useful Information,Your questions reveal useful information about danger on the nearby road.,TRAVELLER_QUESTIONED,EVENT_RESOLVED,-
160,RESOLUTION,END,Traveller Gives a Vague Story,"The traveller answers your questions, but their story leaves you unconvinced.",TRAVELLER_QUESTIONED,EVENT_RESOLVED,-
161,RESOLUTION,END,Traveller Rests Beside the Fire,The traveller spends a quiet while beside your fire before continuing their journey.,TRAVELLER_INVITED,EVENT_RESOLVED,-
162,RESOLUTION,END,Traveller Leaves Peacefully,The traveller accepts your refusal and disappears back into the night.,TRAVELLER_SENT_AWAY,EVENT_RESOLVED,-
163,RESOLUTION,END,Merchant Finds the Road,"With your directions, the merchant returns to the road and continues toward safety.",MERCHANT_DIRECTED,EVENT_RESOLVED,-
164,RESOLUTION,END,Suspicious Stranger Explains Themselves,"After being questioned, the stranger gives a believable explanation and moves on.",STRANGER_QUESTIONED,EVENT_RESOLVED,-
165,RESOLUTION,END,Suspicious Stranger Refuses to Answer,The stranger refuses to explain themselves and slowly retreats into the darkness.,STRANGER_QUESTIONED,EVENT_RESOLVED,-
166,RESOLUTION,END,Stranger Heeds Your Warning,The stranger decides not to approach further and leaves the area.,STRANGER_WARNED,EVENT_RESOLVED,-
167,RESOLUTION,END,Armed Stranger Backs Away,The armed stranger decides the confrontation is not worth the risk and withdraws.,ARMED_CONFRONTATION,EVENT_RESOLVED,-
168,RESOLUTION,END,Armed Confrontation Turns Violent,"The stranger attacks, forcing a dangerous struggle before the threat finally ends.",ARMED_CONFRONTATION,EVENT_RESOLVED,-
169,RESOLUTION,END,The Strangers Reveal Their Intentions,"By watching from concealment, you learn why the strangers were lingering near camp.",STRANGERS_OBSERVED,EVENT_RESOLVED,-
170,RESOLUTION,END,The Cry Leads to an Injured Traveller,You find the person in distress and bring them back toward the safety of the fire.,DISTRESS_APPROACHED,EVENT_RESOLVED,-
171,RESOLUTION,END,The Cry Was a Trap,"The call for help leads you toward people waiting in ambush, forcing you to retreat.",DISTRESS_APPROACHED,EVENT_RESOLVED,-
172,RESOLUTION,END,The Belongings Identify Their Owner,Clues inside the belongings reveal who carried them and where they may have gone.,BELONGINGS_SEARCHED,EVENT_RESOLVED,-
173,RESOLUTION,END,The Human Tracks Lead to a Traveller,The footprints lead to a lone traveller resting a short distance from your camp.,HUMAN_TRACKS_FOLLOWED,EVENT_RESOLVED,-
174,RESOLUTION,END,The Human Tracks Lead Away,The footprints continue toward the road until you decide not to follow farther.,HUMAN_TRACKS_FOLLOWED,EVENT_RESOLVED,-
175,RESOLUTION,END,The Blood Leads to an Injured Traveller,The trail ends at an injured traveller hiding nearby.,BLOOD_TRAIL_FOLLOWED,EVENT_RESOLVED,-
176,RESOLUTION,END,The Blood Leads to an Injured Animal,The trail ends at a wounded animal resting beneath cover.,BLOOD_TRAIL_FOLLOWED,EVENT_RESOLVED,-
177,RESOLUTION,END,The Hidden Person Flees,The figure runs before answering and disappears into the darkness.,HIDDEN_PERSON_CONFRONTED,EVENT_RESOLVED,-
178,RESOLUTION,END,The Hidden Person Steps Forward,The person reveals themselves and finally explains why they were watching the camp.,HIDDEN_PERSON_CONFRONTED,EVENT_RESOLVED,-
179,RESOLUTION,END,The Stranger Refuses to Explain Your Name,The stranger refuses to explain how they know you and leaves before you can stop them.,NAME_MYSTERY_CHALLENGED,EVENT_RESOLVED,-
180,RESOLUTION,END,No One Answers the Second Call,"Your second call receives no response. After several quiet minutes, you return to rest.",SECOND_CALL,EVENT_RESOLVED,-
181,RESOLUTION,END,Someone Finally Reveals Themselves,A nervous stranger steps from hiding after your second call and explains the disturbance.,SECOND_CALL,EVENT_RESOLVED,-
182,RESOLUTION,END,The Returned Signal Leads to a Traveller,Following the signal brings you to a traveller trying to find the road.,LIGHT_SIGNAL_FOLLOWED,EVENT_RESOLVED,-
183,RESOLUTION,END,The Lantern Trail Goes Cold,You find no trace of the lantern's owner and eventually return to camp.,LANTERN_TRAIL_SEARCHED,EVENT_RESOLVED,-
184,RESOLUTION,END,The Vanished Light Is Never Found,You search where the light disappeared but find nothing that explains what you saw.,VANISHED_LIGHT_FOLLOWED,EVENT_RESOLVED,-
185,RESOLUTION,END,Thief Drops the Goods and Flees,"Blocked from escaping cleanly, the thief drops what they took and runs.",THIEF_BLOCKED,EVENT_RESOLVED,-
186,RESOLUTION,END,Thief Fights to Escape,The trapped thief lashes out before finally escaping into the darkness.,THIEF_BLOCKED,EVENT_RESOLVED,-
187,RESOLUTION,END,You Catch Up with the Thief,You catch the thief before they disappear and recover what they were carrying.,THIEF_CHASED,EVENT_RESOLVED,-
188,RESOLUTION,END,The Thief Escapes the Chase,The thief is faster in the darkness and disappears with the stolen goods.,THIEF_CHASED,EVENT_RESOLVED,-
189,RESOLUTION,END,Thief Returns the Goods,"Faced directly, the thief gives back what they took and retreats.",THIEF_CONFRONTED,EVENT_RESOLVED,-
190,RESOLUTION,END,Thief Refuses and Runs,The thief ignores your demand and bolts into the darkness.,THIEF_CONFRONTED,EVENT_RESOLVED,-
191,RESOLUTION,END,The Thief Escapes Unchallenged,You let the thief go and the footsteps quickly fade into the night.,THIEF_ALLOWED_ESCAPE,EVENT_RESOLVED,-
192,RESOLUTION,END,Most Missing Goods Are Found,You recover most of the missing items scattered or hidden around the camp.,MISSING_GOODS_SEARCHED,EVENT_RESOLVED,-
193,RESOLUTION,END,The Missing Goods Are Gone,Your search finds no trace of the lost cargo.,MISSING_GOODS_SEARCHED,EVENT_RESOLVED,-
194,RESOLUTION,END,The Damaged Cargo Is Secured,Your repair prevents any further loss from the damaged bag.,CARGO_REPAIRED,EVENT_RESOLVED,-
195,RESOLUTION,END,The Cargo Is Safe Again,All loose goods are secured and the camp becomes quiet again.,CARGO_FULLY_SECURED,EVENT_RESOLVED,-
196,RESOLUTION,END,The Cargo Intruder Returns,Your patience pays off when the intruder approaches the supplies again and reveals themselves.,CARGO_AMBUSH_WAIT,EVENT_RESOLVED,-
197,RESOLUTION,END,The Intruder Never Returns,"You wait beside the cargo, but nothing else approaches before morning.",CARGO_AMBUSH_WAIT,EVENT_RESOLVED,-
198,RESOLUTION,END,The Cargo Watcher Withdraws,"Once confronted, the stranger backs away from your supplies and leaves.",CARGO_WATCHER_CONFRONTED,EVENT_RESOLVED,-
199,RESOLUTION,END,Animal Flees from the Noise,The animal recoils at the noise and disappears into the darkness.,ANIMAL_SCARED,EVENT_RESOLVED,-
200,RESOLUTION,END,Large Animal Charges,"Instead of fleeing, the large animal reacts aggressively and charges before eventually retreating.","ANIMAL_SCARED, LARGE_ANIMAL",EVENT_RESOLVED,-
201,RESOLUTION,END,Animal Loses Interest,"After watching the camp for a while, the animal turns and leaves on its own.",ANIMAL_OBSERVED,EVENT_RESOLVED,-
202,RESOLUTION,END,Animal Takes the Food and Leaves,The animal takes the offered food and moves away from the camp.,ANIMAL_FED,EVENT_RESOLVED,-
203,RESOLUTION,END,Animal Keeps Its Distance,"Your retreat gives the animal enough space, and it does not follow you back to camp.",ANIMAL_AVOIDED,EVENT_RESOLVED,-
204,RESOLUTION,END,Cargo Is Protected from the Animal,The animal gives up on the supplies and eventually leaves.,ANIMAL_CARGO_DEFENDED,EVENT_RESOLVED,-
205,RESOLUTION,END,The Animal Tracks Lead to a Den,"The trail leads to a shallow den, and you decide not to disturb it.",ANIMAL_TRACKS_FOLLOWED,EVENT_RESOLVED,-
206,RESOLUTION,END,The Animal Trail Goes Too Far,The tracks continue away from camp until you turn back rather than risk getting lost.,ANIMAL_TRACKS_FOLLOWED,EVENT_RESOLVED,-
207,RESOLUTION,END,The Injured Animal Allows You Close,The animal remains calm long enough for you to inspect its injury before it moves away.,INJURED_ANIMAL_APPROACHED,EVENT_RESOLVED,-
208,RESOLUTION,END,The Injured Animal Reacts Aggressively,"The frightened animal lashes out when you approach, forcing you to retreat.",INJURED_ANIMAL_APPROACHED,EVENT_RESOLVED,-
209,RESOLUTION,END,The Injured Animal Is Left Undisturbed,You leave the wounded animal alone and return safely to camp.,INJURED_ANIMAL_LEFT,EVENT_RESOLVED,-
210,RESOLUTION,END,The Fire Keeps the Animal Back,The stronger flames keep the large animal outside the camp until it eventually leaves.,ANIMAL_HELD_BY_FIRE,EVENT_RESOLVED,-
211,RESOLUTION,END,The Animal Leaves the Cargo Area,"Driven away from the supplies, the animal disappears into the darkness.",CARGO_DEFENDED,EVENT_RESOLVED,-
212,RESOLUTION,END,The Retreating Animal Disappears,You watch until the animal is well beyond the camp and the night becomes quiet again.,ANIMAL_RETREAT_CONFIRMED,EVENT_RESOLVED,-
213,RESOLUTION,END,The Fire Burns Again,The flames return and the camp becomes warm and visible again.,FIRE_RESTORED,EVENT_RESOLVED,-
214,RESOLUTION,END,You Spend the Night Without a Fire,"You give up on the soaked fuel and settle in for a colder, darker rest.",FIRE_ABANDONED,EVENT_RESOLVED,-
215,RESOLUTION,END,The Shelter Holds,Your repair stabilizes the shelter enough to withstand the remaining storm.,SHELTER_REPAIRED,EVENT_RESOLVED,-
216,RESOLUTION,END,The Cargo Stays Dry,Your quick work protects the goods before the rain can cause serious damage.,CARGO_RAIN_SECURED,EVENT_RESOLVED,-
217,RESOLUTION,END,The New Campsite Is Safer,Higher ground keeps the rising water away and you resume resting.,CAMP_MOVED_HIGHER,EVENT_RESOLVED,-
218,RESOLUTION,END,You Leave Before the Flood,You pack quickly and abandon the campsite before the water traps you.,CAMP_ABANDONED,EVENT_RESOLVED,-
219,RESOLUTION,END,The Storm Finally Weakens,"After a long wait, the worst of the wind and rain passes.",STORM_WAITED_OUT,EVENT_RESOLVED,-
220,RESOLUTION,END,The Patched Cover Holds,The temporary patch keeps most of the rain away from your cargo.,CARGO_COVER_REPAIRED,EVENT_RESOLVED,-
221,RESOLUTION,END,The Reinforced Shelter Survives the Night,The shelter remains stable and protects you until the storm eases.,SHELTER_TRUSTED,EVENT_RESOLVED,-
222,RESOLUTION,END,The Mystery Is Left Unresolved,You find no explanation for the disturbance and eventually return to rest.,MYSTERY_ABANDONED,EVENT_RESOLVED,-
223,RESOLUTION,END,The Disturbance Never Returns,"You wait, but the strange sound or movement never happens again.",MYSTERY_WAITED,EVENT_RESOLVED,-
224,RESOLUTION,END,The Broken Trail Ends Suddenly,The trail disappears on harder ground and leaves no clue about what made it.,UNKNOWN_TRAIL_FOLLOWED,EVENT_RESOLVED,-
225,RESOLUTION,END,The Trail Leads to an Old Campsite,The broken branches lead to the remains of a recently abandoned campsite.,UNKNOWN_TRAIL_FOLLOWED,EVENT_RESOLVED,-
226,RESOLUTION,END,No Owner Is Found,You search the nearby area but find no one connected to the abandoned pack.,PACK_OWNER_SEARCHED,EVENT_RESOLVED,-
227,RESOLUTION,END,The Pack's Owner Returns,A nervous traveller appears while you are searching and claims the abandoned pack.,PACK_OWNER_SEARCHED,EVENT_RESOLVED,-
228,RESPONSE,RESOLUTION,Follow the Fleeing Person,You follow the fleeing person for a short distance to learn why they were near your camp.,PERSON_FLEEING,FLEEING_PERSON_FOLLOWED,-
229,RESPONSE,RESOLUTION,Call to the Nearby Person,You call toward the nearby footsteps and tell the unseen person to identify themselves.,PERSON_NEARBY,NEARBY_PERSON_CALLED,-
230,RESPONSE,RESOLUTION,Respect the Warning,You stop advancing and tell the unseen person that you will keep your distance.,HOSTILE_WARNING,WARNING_RESPECTED,-
231,RESPONSE,RESOLUTION,Challenge the Warning,You refuse to back away and demand that the unseen person explain themselves.,HOSTILE_WARNING,WARNING_CHALLENGED,-
232,RESOLUTION,END,The Fleeing Person Disappears,"You follow for a short distance, but the person vanishes into the darkness before you can catch them.",FLEEING_PERSON_FOLLOWED,EVENT_RESOLVED,-
233,RESOLUTION,END,The Fleeing Person Drops a Clue,"The fleeing person escapes, but you find something they dropped while running.",FLEEING_PERSON_FOLLOWED,EVENT_RESOLVED,-
234,RESOLUTION,END,A Traveller Answers from the Darkness,The nearby person finally answers and reveals themselves as a nervous traveller.,NEARBY_PERSON_CALLED,EVENT_RESOLVED,-
235,RESOLUTION,END,The Nearby Person Moves Away,"No answer comes, but the footsteps slowly retreat until the camp is quiet again.",NEARBY_PERSON_CALLED,EVENT_RESOLVED,-
236,RESOLUTION,END,The Warning Is Honored,"You keep your distance, and after several tense minutes the unseen person leaves the area.",WARNING_RESPECTED,EVENT_RESOLVED,-
237,RESOLUTION,END,The Stranger Reveals Themselves,"After your challenge, the person steps into view and the tense uncertainty finally ends.",WARNING_CHALLENGED,EVENT_RESOLVED,-
238,RESOLUTION,END,The Challenge Provokes an Attack,Your refusal to back down turns the warning into a violent confrontation before the threat ends.,WARNING_CHALLENGED,EVENT_RESOLVED,-
239,RESPONSE,RESOLUTION,Inspect the Human Tracks,"You study the depth, direction, and spacing of the footprints before deciding whether to follow them.",HUMAN_TRACKS,VAR_OUTCOME_239,-
240,RESOLUTION,END,Inspect the Human Tracks Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_239,EVENT_RESOLVED,-
241,RESOLUTION,END,Inspect the Human Tracks Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_239,EVENT_RESOLVED,-
242,RESPONSE,RESOLUTION,Return to Camp and Watch the Trail,You decide not to follow immediately and instead return to camp to see whether whoever made the tracks comes back.,HUMAN_TRACKS,VAR_OUTCOME_242,-
243,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_242,EVENT_RESOLVED,-
244,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_242,EVENT_RESOLVED,-
245,RESPONSE,RESOLUTION,Examine the Blood Before Following,You inspect the blood closely to judge how fresh the trail is and whether following it is worth the risk.,BLOOD_TRAIL,VAR_OUTCOME_245,-
246,RESOLUTION,END,Examine the Blood Before Following Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_245,EVENT_RESOLVED,-
247,RESOLUTION,END,Examine the Blood Before Following Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_245,EVENT_RESOLVED,-
248,RESPONSE,RESOLUTION,Prepare Before Following the Blood,You return to the fire briefly and prepare yourself before deciding whether to follow the trail farther.,BLOOD_TRAIL,VAR_OUTCOME_248,-
249,RESOLUTION,END,Your Preparation Pays Off,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",VAR_OUTCOME_248,EVENT_RESOLVED,-
250,RESOLUTION,END,The Threat Never Develops,"You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",VAR_OUTCOME_248,EVENT_RESOLVED,-
251,RESPONSE,RESOLUTION,Inspect the Broken Trail,You study the broken branches and disturbed vegetation to determine what may have passed through.,TRAIL_FOUND,VAR_OUTCOME_251,-
252,RESOLUTION,END,Inspect the Broken Trail Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_251,EVENT_RESOLVED,-
253,RESOLUTION,END,Inspect the Broken Trail Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_251,EVENT_RESOLVED,-
254,RESPONSE,RESOLUTION,Mark the Trail and Return to Camp,You memorize the direction of the trail but decide not to leave the campsite in darkness.,TRAIL_FOUND,VAR_OUTCOME_254,-
255,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_254,EVENT_RESOLVED,-
256,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_254,EVENT_RESOLVED,-
257,RESPONSE,RESOLUTION,Observe the Hidden Figure,"Instead of confronting the figure immediately, you remain still and watch for another movement.",HIDDEN_PERSON,VAR_OUTCOME_257,-
258,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_257,EVENT_RESOLVED,-
259,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_257,EVENT_RESOLVED,-
260,RESPONSE,RESOLUTION,Return to the Fire and Call Out,You step back toward the fire and tell the hidden figure to reveal themselves from a safer distance.,HIDDEN_PERSON,VAR_OUTCOME_260,-
261,RESOLUTION,END,The Source Backs Down,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,VAR_OUTCOME_260,EVENT_RESOLVED,-
262,RESOLUTION,END,The Confrontation Escalates,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,VAR_OUTCOME_260,EVENT_RESOLVED,-
263,RESPONSE,RESOLUTION,Search One More Time,You make one final careful sweep around the camp before accepting that nothing obvious is nearby.,NO_SOURCE_FOUND,VAR_OUTCOME_263,-
264,RESOLUTION,END,Search One More Time Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_263,EVENT_RESOLVED,-
265,RESOLUTION,END,Search One More Time Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_263,EVENT_RESOLVED,-
266,RESPONSE,RESOLUTION,Guard the Cargo and Wait,You position yourself beside the supplies and wait for whatever moved near them to return.,CARGO_INTRUSION_POSSIBLE,VAR_OUTCOME_266,-
267,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_266,EVENT_RESOLVED,-
268,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_266,EVENT_RESOLVED,-
269,RESPONSE,RESOLUTION,Check Where the Movement Stopped,You inspect the last place where you heard movement for tracks or anything left behind.,SOURCE_FLED_POSSIBLE,VAR_OUTCOME_269,-
270,RESOLUTION,END,Check Where the Movement Stopped Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_269,EVENT_RESOLVED,-
271,RESOLUTION,END,Check Where the Movement Stopped Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_269,EVENT_RESOLVED,-
272,RESPONSE,RESOLUTION,Return to Camp Instead of Chasing,You decide not to pursue an unknown person through the darkness and return to secure the camp.,PERSON_FLEEING,VAR_OUTCOME_272,-
273,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_272,EVENT_RESOLVED,-
274,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_272,EVENT_RESOLVED,-
275,RESPONSE,RESOLUTION,Call After the Fleeing Person,You shout after the fleeing person and demand that they stop or explain why they were near your camp.,PERSON_FLEEING,VAR_OUTCOME_275,-
276,RESOLUTION,END,The Source Backs Down,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,VAR_OUTCOME_275,EVENT_RESOLVED,-
277,RESOLUTION,END,The Confrontation Escalates,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,VAR_OUTCOME_275,EVENT_RESOLVED,-
278,RESPONSE,RESOLUTION,Wait for the Nearby Person to Move,"You stay silent and wait to hear whether the unseen person approaches, retreats, or reveals themselves.",PERSON_NEARBY,VAR_OUTCOME_278,-
279,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_278,EVENT_RESOLVED,-
280,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_278,EVENT_RESOLVED,-
281,RESPONSE,RESOLUTION,Return to the Fire and Prepare,You move back toward the fire and prepare yourself before dealing with the nearby stranger.,PERSON_NEARBY,VAR_OUTCOME_281,-
282,RESOLUTION,END,Your Preparation Pays Off,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",VAR_OUTCOME_281,EVENT_RESOLVED,-
283,RESOLUTION,END,The Threat Never Develops,"You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",VAR_OUTCOME_281,EVENT_RESOLVED,-
284,RESPONSE,RESOLUTION,Call Out to the Group,You reveal that you are awake and tell the people outside the camp to identify themselves.,MULTIPLE_PEOPLE,VAR_OUTCOME_284,-
285,RESOLUTION,END,The Source Backs Down,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,VAR_OUTCOME_284,EVENT_RESOLVED,-
286,RESOLUTION,END,The Confrontation Escalates,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,VAR_OUTCOME_284,EVENT_RESOLVED,-
287,RESPONSE,RESOLUTION,Return to the Fire and Stay Defensive,"You stop listening and move back to the fire, keeping your distance from the group.",MULTIPLE_PEOPLE,VAR_OUTCOME_287,-
288,RESOLUTION,END,Your Preparation Pays Off,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",VAR_OUTCOME_287,EVENT_RESOLVED,-
289,RESOLUTION,END,The Threat Never Develops,"You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",VAR_OUTCOME_287,EVENT_RESOLVED,-
290,RESPONSE,RESOLUTION,Inspect the Cargo Area,You carefully inspect the bags and ground around the cargo for signs of an intruder.,CARGO_INTRUSION_POSSIBLE,VAR_OUTCOME_290,-
291,RESOLUTION,END,Inspect the Cargo Area Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_290,EVENT_RESOLVED,-
292,RESOLUTION,END,Inspect the Cargo Area Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_290,EVENT_RESOLVED,-
293,RESPONSE,RESOLUTION,Observe from a Distance,You respect the distance for now but keep watching the area to learn who issued the warning.,HOSTILE_WARNING,VAR_OUTCOME_293,-
294,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_293,EVENT_RESOLVED,-
295,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_293,EVENT_RESOLVED,-
296,RESPONSE,RESOLUTION,Stop Calling and Observe,You stop making noise and watch the darkness to see whether the unseen presence reacts.,NO_ANSWER,VAR_OUTCOME_296,-
297,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_296,EVENT_RESOLVED,-
298,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_296,EVENT_RESOLVED,-
299,RESPONSE,RESOLUTION,Return to the Fire,You decide not to pursue an unseen presence that refuses to answer and move back toward the fire.,NO_ANSWER,VAR_OUTCOME_299,-
300,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_299,EVENT_RESOLVED,-
301,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_299,EVENT_RESOLVED,-
302,RESPONSE,RESOLUTION,Demand an Explanation,You firmly demand that the stranger explain how they know your name before you allow them closer.,STRANGER_KNOWS_NAME,VAR_OUTCOME_302,-
303,RESOLUTION,END,The Source Backs Down,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,VAR_OUTCOME_302,EVENT_RESOLVED,-
304,RESOLUTION,END,The Confrontation Escalates,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,VAR_OUTCOME_302,EVENT_RESOLVED,-
305,RESPONSE,RESOLUTION,Refuse to Engage,You refuse to answer the stranger and retreat toward the safety of the fire.,STRANGER_KNOWS_NAME,VAR_OUTCOME_305,-
306,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_305,EVENT_RESOLVED,-
307,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_305,EVENT_RESOLVED,-
308,RESPONSE,RESOLUTION,Observe the Stranger Before Speaking,You remain at a distance and watch the stranger's movements before deciding whether to engage.,SUSPICIOUS_STRANGER,VAR_OUTCOME_308,-
309,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_308,EVENT_RESOLVED,-
310,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_308,EVENT_RESOLVED,-
311,RESPONSE,RESOLUTION,Leave the Belongings Untouched,You decide the abandoned items may be bait and leave them where they are.,ABANDONED_BELONGINGS,VAR_OUTCOME_311,-
312,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_311,EVENT_RESOLVED,-
313,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_311,EVENT_RESOLVED,-
314,RESPONSE,RESOLUTION,Call for the Person to Come to You,"Rather than rushing into the darkness, you tell the injured or frightened person to move toward the fire if they can.",DISTRESS_CONFIRMED,VAR_OUTCOME_314,-
315,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_314,EVENT_RESOLVED,-
316,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_314,EVENT_RESOLVED,-
317,RESPONSE,RESOLUTION,Prepare to Defend Yourself Before Approaching,You prepare for the possibility that the call for help is a trap before moving closer.,DISTRESS_CONFIRMED,VAR_OUTCOME_317,-
318,RESOLUTION,END,Your Preparation Pays Off,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",VAR_OUTCOME_317,EVENT_RESOLVED,-
319,RESOLUTION,END,The Threat Never Develops,"You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",VAR_OUTCOME_317,EVENT_RESOLVED,-
320,RESPONSE,RESOLUTION,Back Away Without Provoking Them,You keep your hands visible and slowly retreat toward the fire rather than challenge the armed stranger.,ARMED_STRANGER,VAR_OUTCOME_320,-
321,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_320,EVENT_RESOLVED,-
322,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_320,EVENT_RESOLVED,-
323,RESPONSE,RESOLUTION,Observe the Armed Stranger,You hold your ground without advancing and watch for signs of hostile intent.,ARMED_STRANGER,VAR_OUTCOME_323,-
